timestamp,event_id,stage,status,reason
2026-05-20T04:28:30.573213,1,ticker_generation,ok,generated
2026-05-20T04:28:30.573343,2,ticker_generation,ok,generated
2026-05-20T04:28:30.573391,3,ticker_generation,ok,generated
2026-05-20T04:28:30.573431,4,ticker_generation,failed,missing token_name
2026-05-20T04:28:31.083530,2,risk_scan,flagged,low_liquidity|concentration_risk|suspicious_name
2026-05-20T06:23:05.349851+00:00,E999,ticker_generation,ok,direct:OPENAI
2026-05-20T06:23:05.349914+00:00,E999,ticker_generation,ok,derivative:OPENAI
2026-05-20T06:23:05.349938+00:00,E999,ticker_generation,skipped,person:insufficient context
2026-05-20T06:23:05.349957+00:00,E999,ticker_generation,skipped,location:insufficient context
2026-05-20T06:23:05.349982+00:00,E999,ticker_generation,ok,slang:WAGMI
2026-05-20T06:23:05.350007+00:00,E999,ticker_generation,skipped,controversy:insufficient context
2026-05-20T06:23:05.350026+00:00,E999,ticker_generation,ok,meme_phrase:AIAGEN
2026-05-20T06:23:05.351200+00:00,E998,ticker_generation,ok,direct:NBAFIN
2026-05-20T06:23:05.351296+00:00,E998,ticker_generation,ok,derivative:NBAX
2026-05-20T06:23:05.351343+00:00,E998,ticker_generation,skipped,person:insufficient context
2026-05-20T06:23:05.351367+00:00,E998,ticker_generation,skipped,location:insufficient context
2026-05-20T06:23:05.351388+00:00,E998,ticker_generation,ok,slang:WAGMI
2026-05-20T06:23:05.351406+00:00,E998,ticker_generation,skipped,controversy:insufficient context
2026-05-20T06:23:05.351426+00:00,E998,ticker_generation,ok,meme_phrase:STARPL
2026-05-20T06:23:05.985412+00:00,E001,ticker_generation,ok,direct:FIFAWO
2026-05-20T06:23:05.985502+00:00,E001,ticker_generation,ok,derivative:FIFAX
2026-05-20T06:23:05.985526+00:00,E001,ticker_generation,skipped,person:insufficient context
2026-05-20T06:23:05.985546+00:00,E001,ticker_generation,skipped,location:insufficient context
2026-05-20T06:23:05.985565+00:00,E001,ticker_generation,ok,slang:WAGMI
2026-05-20T06:23:05.985582+00:00,E001,ticker_generation,skipped,controversy:insufficient context
2026-05-20T06:23:05.985600+00:00,E001,ticker_generation,ok,meme_phrase:COUNTR
2026-05-20T06:23:05.985644+00:00,E002,ticker_generation,ok,direct:APPLEW
2026-05-20T06:23:05.985686+00:00,E002,ticker_generation,ok,derivative:APPLEX
2026-05-20T06:23:05.985719+00:00,E002,ticker_generation,skipped,person:insufficient context
2026-05-20T06:23:05.985737+00:00,E002,ticker_generation,skipped,location:insufficient context
2026-05-20T06:23:05.985755+00:00,E002,ticker_generation,ok,slang:WAGMI
2026-05-20T06:23:05.985796+00:00,E002,ticker_generation,skipped,controversy:insufficient context
2026-05-20T06:23:05.985816+00:00,E002,ticker_generation,ok,meme_phrase:AIFEAT
2026-05-20T06:23:05.985854+00:00,E003,ticker_generation,ok,direct:SUMMER
2026-05-20T06:23:05.985873+00:00,E003,ticker_generation,ok,derivative:SUMMER
2026-05-20T06:23:05.985890+00:00,E003,ticker_generation,skipped,person:insufficient context
2026-05-20T06:23:05.985907+00:00,E003,ticker_generation,skipped,location:insufficient context
2026-05-20T06:23:05.985924+00:00,E003,ticker_generation,ok,slang:WAGMI
2026-05-20T06:23:05.985941+00:00,E003,ticker_generation,skipped,controversy:insufficient context
2026-05-20T06:23:05.985958+00:00,E003,ticker_generation,ok,meme_phrase:HYPETR
2026-05-20T06:23:05.985991+00:00,E004,ticker_generation,ok,direct:NBAFIN
2026-05-20T06:23:05.986009+00:00,E004,ticker_generation,ok,derivative:NBAX
2026-05-20T06:23:05.986026+00:00,E004,ticker_generation,skipped,person:insufficient context
